Name,Scholar Link,DOI,Bibtex,PDF Name,Year,Scholar page,Journal,Downloaded,Downloaded from,Authors
ICT students' perceptions towards ChatGPT: An experimental reflective lab analysis,,https://doi.org/10.3934/steme.2023006,True,,2023,,STEM Education,False,,"Elkhodr, Mahmoud and Gide, Ergun and Wu, Robert and Darwish, Omar"
The Perception by University Students of the Use of ChatGPT in Education,,https://doi.org/10.3991/ijet.v18i17.39019,True,,2023,,International Journal of Emerging Technologies in Learning (iJET),False,,"Ngo, Thi Thuy An"
